x0,y0,x1,y1,Unnamed: 0,index,Baseline: People Moving,Crisis: People Moving,day,reduction,cluster
62.612305,10.020523,63.666992,10.43792,0.0,5741.0,10.333333333333,14.0,7.0,-0.35483870967746306,1
62.612305,10.020523,64.80957,9.434505,0.0,7825.0,10.333333333333,17.0,5.0,-0.6451612903226337,1
62.788086,8.425543,62.963867,8.256863,1.0,8088.0,10.333333333333,19.0,5.0,-0.8387096774194142,3
62.788086,8.425543,62.963867,8.425543,0.14285714285714285,5480.047619047619,20.063230420373426,51.142857142857146,4.0,-1.6047873822949654,3
62.788086,8.425543,62.963867,8.509829,1.1666666666666667,5385.555555555556,15.521876271876222,35.111111111111114,4.055555555555555,-1.1305311275780787,3
62.788086,8.425543,62.963867,8.594076,2.3333333333333335,7798.333333333333,11.828754578754667,40.166666666666664,3.5,-2.4379615699984805,3
62.788086,8.425543,63.051758,8.256863,3.5,7532.0,12.3214285714285,21.0,5.0,-0.714046021093013,3
62.788086,8.425543,63.051758,8.425543,3.0,6876.0,10.333333333333,23.0,6.0,-1.225806451612975,3
62.788086,8.425543,63.051758,8.509829,5.0,7485.0,11.6666666666665,18.5,5.5,-0.621588089330056,3
62.788086,8.425543,63.051758,8.678289,3.7142857142857144,7412.428571428572,12.234170591313571,24.714285714285715,4.0,-1.0256066048870858,3
62.788086,8.425543,63.13965,8.425543,5.5,7813.5,12.08928571428575,21.0,4.25,-0.7651770399411861,3
62.788086,8.425543,63.22754,8.256863,4.428571428571429,7454.714285714285,19.764782836211428,24.714285714285715,3.4285714285714284,-0.583372025606104,3
62.788086,8.425543,63.31543,8.172468,3.933333333333333,6636.066666666667,20.250061050061067,30.666666666666668,4.133333333333334,-0.6227768112494594,3
62.788086,8.425543,63.49121,8.425543,5.818181818181818,7242.090909090909,14.575424575424545,21.90909090909091,4.0,-0.5997288354628811,3
62.788086,8.425543,63.666992,8.0880375,8.5,7583.5,15.170634920635,20.166666666666668,4.166666666666667,-0.39799539816474855,3
62.788086,9.350634,62.963867,9.098787,13.0,6908.0,11.0,14.0,6.0,-0.2727272727272727,3
62.788086,9.350634,62.963867,9.350634,9.142857142857142,7562.714285714285,16.38330716902143,38.714285714285715,4.0,-1.3877455753338166,1
62.788086,9.350634,63.13965,9.350634,3.6,6947.4,12.071428571428601,33.0,3.0,-1.799053887289178,1
62.788086,9.434505,62.963867,9.098787,7.466666666666667,6308.266666666666,16.9564102564102,29.4,4.0,-0.7806232593002492,3
62.788086,9.434505,62.963867,9.182774,11.125,6967.375,16.960393772893624,28.25,4.125,-0.6295076424861143,1
62.788086,9.434505,62.963867,9.266724,13.5,7867.833333333333,14.225579975580166,31.166666666666668,3.5,-1.2042914041694244,1
62.788086,9.434505,62.963867,9.350634,5.933333333333334,5043.266666666666,21.887179487179534,38.46666666666667,4.2,-0.7428665133376345,1
62.788086,9.434505,62.963867,9.434505,8.9375,6318.4375,22.54844202818975,21.5,3.9375,-0.16092954976678475,1
62.788086,9.434505,62.963867,9.518339,15.142857142857142,7602.428571428572,22.573260073260002,41.714285714285715,4.0,-0.8367677699575303,1
62.788086,9.434505,62.963867,9.602135,17.5,7884.5,11.2440476190475,21.5,4.25,-0.9151490423410973,1
62.788086,9.434505,63.051758,9.098787,10.75,6281.5625,17.93658424908425,30.5625,4.1875,-0.7731142943840562,3
62.788086,9.434505,63.051758,9.350634,18.285714285714285,7606.142857142857,13.527210884353858,28.714285714285715,4.0,-1.1908424851116226,1
62.788086,9.434505,63.051758,9.434505,20.0,8171.0,10.333333333333,11.0,5.0,-0.06451612903229241,1
62.788086,9.434505,63.051758,9.518339,17.333333333333332,7070.0,10.65873015873,16.666666666666668,5.666666666666667,-0.5648146325782418,1
62.788086,9.434505,63.13965,9.350634,12.533333333333333,6710.2,20.528693528693466,39.0,4.066666666666666,-0.9038265601818503,1
62.788086,9.434505,63.22754,9.266724,20.333333333333332,7510.333333333333,10.777777777777667,16.333333333333332,4.333333333333333,-0.5043988269794826,1
62.788086,9.434505,63.22754,9.434505,20.666666666666668,7876.0,13.138278388278499,19.666666666666668,3.5,-0.583657115490663,1
62.788086,9.434505,63.22754,9.68589,15.076923076923077,7044.615384615385,14.003381234150615,24.307692307692307,3.923076923076923,-0.8186306591169685,1
62.788086,9.434505,63.40332,8.9307,20.0,6007.0,10.333333333333,10.0,7.0,0.03225806451609781,3
62.788086,9.434505,63.666992,10.354521,21.0,6008.0,14.666666666666998,10.0,7.0,0.3181818181818336,1
62.788086,9.434505,64.106445,9.182774,23.0,8244.0,13.72023809523825,23.75,3.0,-0.7685228921930923,1
62.875977,8.425543,62.963867,8.341221,25.666666666666668,7969.5,12.003357753357832,33.0,3.5,-1.7642481941531292,3
62.875977,8.425543,62.963867,8.425543,12.238095238095237,5595.523809523809,41.88640498421867,100.04761904761905,4.0,-1.5572107255024197,3
62.875977,8.425543,62.963867,8.509829,13.238095238095237,5596.571428571428,30.52541426827143,63.285714285714285,4.0,-1.0397893827641165,3
62.875977,8.425543,62.963867,8.594076,26.285714285714285,7700.571428571428,20.52564102564086,52.285714285714285,4.0,-1.5780307681748853,3
62.875977,8.425543,63.051758,8.425543,27.666666666666668,7971.5,16.161477411477666,36.166666666666664,3.5,-1.2783526378114372,3
62.875977,8.425543,63.051758,8.509829,28.142857142857142,7702.428571428572,16.566980638409426,36.285714285714285,4.0,-1.1664439547601475,3
62.875977,8.425543,63.051758,8.678289,30.0,7465.5,11.58333333333325,25.75,4.75,-1.3315427851718502,3
