,index,Baseline: People Moving,Crisis: People Moving,x0,y0,x1,y1
0,5741,10.333333333333,14,62.612305,10.020523,63.666992,10.43792
1,5944,25.0,40,62.788086,8.425543,62.963867,8.425543
2,5945,15.666666666666998,32,62.788086,8.425543,62.963867,8.509829
3,5946,14.666666666666998,19,62.788086,8.425543,63.051758,8.678289
4,5947,45.0,21,62.788086,8.425543,63.22754,8.256863
5,5948,35.333333333333,20,62.788086,8.425543,63.31543,8.172468
6,5949,22.333333333333,19,62.788086,8.425543,63.49121,8.425543
7,5950,15.666666666666998,17,62.788086,8.425543,63.666992,8.0880375
8,5965,11.0,27,62.788086,9.350634,62.963867,9.350634
9,5993,17.666666666667,20,62.788086,9.434505,62.963867,9.350634
10,5995,19.333333333333,20,62.788086,9.434505,62.963867,9.098787
11,5996,13.0,20,62.788086,9.434505,62.963867,9.182774
12,5997,14.0,20,62.788086,9.434505,62.963867,9.434505
13,5998,14.666666666666998,18,62.788086,9.434505,62.963867,9.518339
14,5999,10.333333333333,15,62.788086,9.434505,63.051758,9.518339
15,6000,23.333333333333,16,62.788086,9.434505,63.051758,9.098787
16,6002,10.333333333333,18,62.788086,9.434505,63.051758,9.350634
17,6003,20.333333333333,26,62.788086,9.434505,63.13965,9.350634
18,6005,11.0,12,62.788086,9.434505,63.22754,9.266724
19,6006,19.333333333333,10,62.788086,9.434505,63.22754,9.68589
20,6007,10.333333333333,10,62.788086,9.434505,63.40332,8.9307
21,6008,14.666666666666998,10,62.788086,9.434505,63.666992,10.354521
22,6079,41.0,93,62.875977,8.425543,62.963867,8.425543
23,6080,30.666666666667,61,62.875977,8.425543,62.963867,8.509829
24,6081,11.0,30,62.875977,8.425543,62.963867,8.594076
25,6082,11.0,17,62.875977,8.425543,63.051758,8.509829
26,6083,12.0,19,62.875977,8.425543,63.051758,8.678289
27,6084,13.0,20,62.875977,8.425543,63.13965,8.425543
28,6085,23.333333333333,16,62.875977,8.425543,63.31543,8.172468
29,6086,13.0,12,62.875977,8.425543,63.49121,8.425543
30,6088,10.333333333333,18,62.875977,8.9307,62.963867,8.9307
31,6090,14.666666666666998,38,62.875977,9.68589,62.963867,9.68589
32,6170,12.0,29,62.963867,9.098787,62.963867,9.014763
33,6172,18.666666666667,48,62.963867,9.098787,62.963867,9.182774
34,6173,26.0,62,62.963867,9.098787,63.051758,9.098787
35,6175,13.0,43,62.963867,9.182774,62.963867,9.098787
36,6199,19.333333333333,70,63.051758,8.425543,63.13965,8.425543
37,6220,18.666666666667,57,63.051758,8.678289,63.051758,8.762463
38,6221,17.666666666667,58,63.051758,8.678289,63.13965,8.678289
39,6222,11.0,30,63.051758,8.678289,63.13965,8.762463
40,6224,37.333333333333,106,63.051758,9.098787,62.963867,9.098787
41,6225,11.0,23,63.051758,9.098787,62.963867,9.182774
42,6226,13.0,35,63.051758,9.098787,63.051758,9.014763
43,6249,18.666666666667,35,63.051758,8.762463,63.051758,8.678289
44,6252,12.0,32,63.051758,9.350634,63.13965,9.350634
45,6262,15.666666666666998,40,63.13965,8.678289,63.051758,8.678289
46,6308,21.333333333333,47,63.13965,9.350634,63.051758,9.350634
47,6313,60.172987061151,128,63.13965,11.435509,63.22754,11.435509
48,6319,14.0,55,63.13965,8.425543,63.051758,8.425543
49,6325,11.0,15,63.22754,10.271082,63.31543,10.271082
50,6344,11.0,37,63.22754,8.9307,63.22754,9.014763
51,6345,10.333333333333,32,63.22754,9.014763,63.22754,8.9307
52,6351,10.333333333333,26,63.22754,9.518339,63.22754,9.434505
53,6354,92.733333333333,168,63.22754,11.435509,63.13965,11.435509
54,6355,10.333333333333,29,63.22754,11.435509,63.22754,11.51837
55,6393,15.666666666666998,31,63.22754,9.68589,63.13965,9.68589
56,6394,20.333333333333,51,63.22754,9.68589,63.22754,9.602135
57,6395,13.0,29,63.22754,9.68589,63.22754,9.769608
58,6397,14.0,26,63.22754,9.68589,63.31543,9.769608
59,6398,22.333333333333,67,63.22754,9.68589,63.31543,9.68589
60,6400,11.0,25,63.22754,11.51837,63.22754,11.435509
