,index,Baseline: People Moving,Crisis: People Moving,x0,y0,x1,y1
0,6245,11.615384615385,39,62.788086,8.425543,62.963867,8.425543
1,6247,12.615384615385,33,62.788086,8.425543,63.31543,8.172468
2,6266,10.0,40,62.788086,9.350634,63.13965,9.350634
3,6285,42.307692307692,15,62.788086,9.434505,62.963867,9.434505
4,6286,12.615384615385,44,62.788086,9.434505,63.051758,9.098787
5,6287,19.846153846154,54,62.788086,9.434505,63.13965,9.350634
6,6288,10.615384615384999,26,62.788086,9.434505,63.22754,9.68589
7,6346,23.461538461538,89,62.875977,8.425543,62.963867,8.425543
8,6347,15.230769230769,25,62.875977,8.425543,62.963867,8.509829
9,6401,20.846153846154,58,62.875977,9.098787,62.963867,9.098787
10,6442,61.582269352595,32,62.875977,9.434505,62.963867,9.434505
11,6451,15.230769230769,55,62.963867,9.014763,62.963867,9.098787
12,6452,12.615384615385,24,62.963867,9.014763,63.051758,9.098787
13,6475,10.615384615384999,24,62.963867,8.678289,63.051758,8.678289
14,6478,12.615384615385,38,62.963867,9.098787,62.963867,9.182774
15,6479,73.076923076923,152,62.963867,9.098787,63.051758,9.098787
16,6482,28.076923076923,93,62.963867,9.182774,62.963867,9.098787
17,6483,25.461538461538,46,62.963867,9.182774,63.051758,9.098787
18,6488,10.076923076923,16,62.963867,9.518339,62.963867,9.602135
19,6491,13.615384615385,14,62.963867,9.936924,63.051758,9.936924
20,6519,18.230769230769,63,63.051758,8.425543,63.13965,8.425543
21,6521,25.461538461538,69,63.051758,9.014763,63.051758,9.098787
22,6524,11.615384615385,21,63.051758,10.104082,63.051758,10.020523
23,6556,10.615384615384999,11,63.051758,8.509829,63.051758,8.425543
24,6557,40.307692307692,48,63.051758,8.678289,63.051758,8.762463
25,6559,36.692307692308,94,63.051758,9.098787,62.963867,9.098787
26,6560,11.615384615385,21,63.051758,9.266724,62.963867,9.266724
27,6561,18.230769230769,33,63.051758,9.434505,63.13965,9.350634
28,6579,32.076923076922995,75,63.051758,8.762463,63.051758,8.678289
29,6580,18.846153846154,42,63.051758,9.182774,63.051758,9.098787
30,6583,43.307692307692,91,63.051758,9.350634,63.13965,9.350634
31,6584,13.615384615385,64,63.051758,10.854305,63.051758,10.93746
32,6585,18.230769230769,58,63.051758,10.93746,63.13965,10.93746
33,6604,26.461538461538,48,63.13965,8.594076,63.13965,8.509829
34,6607,33.692307692308,97,63.13965,8.678289,63.051758,8.678289
35,6608,11.615384615385,30,63.13965,9.014763,63.22754,9.014763
36,6609,21.846153846154,29,63.13965,9.266724,63.13965,9.350634
37,6643,18.230769230769,37,63.13965,8.9307,63.22754,8.9307
38,6646,10.615384615384999,33,63.13965,9.350634,63.051758,9.350634
39,6648,17.230769230769,43,63.13965,9.434505,63.13965,9.350634
40,6650,11.615384615385,22,63.13965,9.769608,63.22754,9.68589
41,6653,13.615384615385,41,63.13965,10.93746,63.051758,10.93746
42,6654,111.23076923077,326,63.13965,11.435509,63.22754,11.435509
43,6666,56.23076923076899,60,63.13965,8.425543,63.051758,8.425543
44,6667,20.846153846154,56,63.13965,8.762463,63.051758,8.678289
45,6668,18.230769230769,23,63.13965,8.762463,63.051758,8.762463
46,6669,15.230769230769,26,63.13965,9.602135,63.22754,9.68589
47,6670,31.076923076923,67,63.13965,9.68589,63.22754,9.68589
48,6671,13.615384615385,33,63.13965,9.853285,63.051758,9.853285
49,6684,20.846153846154,31,63.22754,9.350634,63.13965,9.350634
50,6685,52.615384615385,67,63.22754,9.602135,63.22754,9.68589
51,6686,30.076923076923,40,63.22754,9.769608,63.22754,9.68589
52,6702,13.615384615385,18,63.22754,8.425543,63.31543,8.425543
53,6703,14.230769230769,30,63.22754,8.509829,63.22754,8.594076
54,6705,16.230769230769,39,63.22754,8.678289,63.22754,8.594076
55,6706,21.846153846154,51,63.22754,8.678289,63.31543,8.678289
56,6707,20.846153846154,49,63.22754,8.9307,63.22754,9.014763
57,6709,20.846153846154,38,63.22754,9.434505,63.13965,9.350634
58,6710,10.0,15,63.22754,9.434505,63.22754,9.350634
59,6712,17.923076923076998,26,63.22754,9.434505,63.22754,9.518339
60,6713,10.615384615384999,13,63.22754,9.518339,63.13965,9.518339
61,6715,10.615384615384999,30,63.22754,9.518339,63.22754,9.434505
62,6716,12.615384615385,17,63.22754,9.518339,63.22754,9.68589
63,6717,18.846153846154,13,63.22754,9.853285,63.22754,9.68589
64,6718,16.230769230769,10,63.22754,10.104082,63.31543,10.104082
65,6719,62.692307692308,216,63.22754,11.435509,63.13965,11.435509
66,6743,17.230769230769,19,63.22754,9.266724,63.13965,9.350634
67,6745,10.0,18,63.22754,9.68589,63.31543,9.769608
68,6746,11.615384615385,31,63.22754,9.68589,63.31543,9.68589
69,6748,10.615384615384999,43,63.22754,11.51837,63.22754,11.435509
70,6766,15.230769230769,25,63.31543,8.762463,63.31543,8.678289
71,6767,18.230769230769,28,63.31543,9.602135,63.22754,9.68589
72,6781,14.230769230769,58,63.31543,8.425543,63.40332,8.425543
73,6782,20.846153846154,19,63.31543,8.425543,63.49121,8.425543
74,6783,18.230769230769,29,63.31543,8.594076,63.22754,8.594076
75,6784,12.615384615385,33,63.31543,8.9307,63.22754,8.9307
76,6786,11.307692307692001,16,63.31543,9.014763,63.22754,9.014763
77,6787,38.692307692308,55,63.31543,9.769608,63.22754,9.68589
78,6788,14.230769230769,13,63.31543,9.853285,63.22754,9.68589
79,6789,19.846153846154,67,63.31543,10.354521,63.31543,10.271082
80,6821,11.615384615385,22,63.31543,9.350634,63.40332,9.434505
81,6822,11.923076923077,17,63.31543,9.350634,63.49121,9.434505
82,6823,57.23076923076899,110,63.31543,9.68589,63.22754,9.68589
83,6828,30.076923076923,36,63.31543,10.271082,63.31543,10.354521
84,6833,13.615384615385,39,63.40332,8.509829,63.40332,8.425543
85,6834,42.307692307692,66,63.40332,8.509829,63.49121,8.425543
86,6835,11.615384615385,37,63.40332,9.518339,63.40332,9.434505
