,index,Baseline: People Moving,Crisis: People Moving,x0,y0,x1,y1
0,7028,12.0,37,62.788086,8.425543,62.963867,8.425543
1,7029,10.333333333333,30,62.788086,8.425543,62.963867,8.509829
2,7031,13.0,27,62.788086,8.425543,63.31543,8.172468
3,7048,12.0,35,62.788086,9.350634,63.13965,9.350634
4,7069,11.0,35,62.788086,9.434505,62.963867,9.098787
5,7070,32.0,16,62.788086,9.434505,62.963867,9.434505
6,7071,15.666666666666998,44,62.788086,9.434505,63.051758,9.098787
7,7073,17.666666666667,56,62.788086,9.434505,63.13965,9.350634
8,7074,12.0,23,62.788086,9.434505,63.22754,9.68589
9,7149,27.0,79,62.875977,8.425543,62.963867,8.425543
10,7150,17.666666666667,40,62.875977,8.425543,62.963867,8.509829
11,7152,10.333333333333,29,62.875977,8.425543,63.31543,8.172468
12,7197,25.0,56,62.875977,9.098787,62.963867,9.098787
13,7223,10.333333333333,22,62.875977,9.014763,62.963867,9.098787
14,7229,53.417721550652,24,62.875977,9.434505,62.963867,9.434505
15,7240,14.666666666666998,49,62.963867,9.014763,62.963867,9.098787
16,7241,12.0,22,62.963867,9.014763,63.051758,9.098787
17,7246,10.333333333333,24,62.963867,9.350634,63.13965,9.350634
18,7280,10.333333333333,37,62.963867,8.509829,62.963867,8.425543
19,7281,12.0,36,62.963867,8.678289,63.051758,8.678289
20,7287,15.666666666666998,36,62.963867,9.098787,62.963867,9.182774
21,7288,77.4,153,62.963867,9.098787,63.051758,9.098787
22,7293,31.666666666667,80,62.963867,9.182774,62.963867,9.098787
23,7294,29.666666666667,42,62.963867,9.182774,63.051758,9.098787
24,7301,14.333333333333002,14,62.963867,9.518339,62.963867,9.602135
25,7304,14.666666666666998,25,62.963867,9.936924,63.051758,9.936924
26,7305,13.0,31,62.963867,10.020523,63.051758,10.020523
27,7322,10.333333333333,28,62.963867,8.594076,62.963867,8.509829
28,7331,21.333333333333,78,63.051758,8.425543,63.13965,8.425543
29,7332,11.0,28,63.051758,8.8466,63.051758,8.678289
30,7333,27.0,72,63.051758,9.014763,63.051758,9.098787
31,7334,15.666666666666998,16,63.051758,10.104082,63.051758,10.020523
32,7367,11.0,15,63.051758,8.509829,63.051758,8.425543
33,7369,35.333333333333,39,63.051758,8.678289,63.051758,8.762463
34,7370,11.0,33,63.051758,8.678289,63.13965,8.678289
35,7373,38.333333333333,86,63.051758,9.098787,62.963867,9.098787
36,7375,12.933333333333001,12,63.051758,9.266724,62.963867,9.266724
37,7377,22.333333333333,40,63.051758,9.434505,63.13965,9.350634
38,7406,36.333333333333,83,63.051758,8.762463,63.051758,8.678289
39,7408,21.333333333333,49,63.051758,9.182774,63.051758,9.098787
40,7412,53.759607372482,89,63.051758,9.350634,63.13965,9.350634
41,7414,10.333333333333,15,63.051758,9.769608,63.051758,9.853285
42,7415,14.0,40,63.051758,10.854305,63.051758,10.93746
43,7417,20.333333333333,50,63.051758,10.93746,63.13965,10.93746
44,7436,29.666666666667,46,63.13965,8.594076,63.13965,8.509829
45,7437,38.333333333333,91,63.13965,8.678289,63.051758,8.678289
46,7438,12.0,29,63.13965,9.014763,63.22754,9.014763
47,7439,18.666666666667,28,63.13965,9.266724,63.13965,9.350634
48,7461,20.333333333333,38,63.13965,8.9307,63.22754,8.9307
49,7463,13.0,26,63.13965,9.350634,63.051758,9.350634
50,7464,18.666666666667,33,63.13965,9.434505,63.13965,9.350634
51,7465,14.0,58,63.13965,10.93746,63.051758,10.93746
52,7466,124.8,317,63.13965,11.435509,63.22754,11.435509
53,7480,54.8,61,63.13965,8.425543,63.051758,8.425543
54,7481,17.666666666667,49,63.13965,8.762463,63.051758,8.678289
55,7482,12.933333333333001,17,63.13965,8.762463,63.051758,8.762463
56,7484,13.666666666666998,14,63.13965,9.182774,63.13965,9.350634
57,7487,13.866666666667,19,63.13965,9.602135,63.22754,9.68589
58,7488,32.666666666667,61,63.13965,9.68589,63.22754,9.68589
59,7489,14.0,29,63.13965,9.853285,63.051758,9.853285
60,7510,23.333333333333,43,63.22754,9.350634,63.13965,9.350634
61,7512,52.6,73,63.22754,9.602135,63.22754,9.68589
62,7514,28.666666666667,48,63.22754,9.769608,63.22754,9.68589
63,7516,11.0,35,63.22754,10.271082,63.31543,10.271082
64,7540,11.0,18,63.22754,8.425543,63.31543,8.425543
65,7541,14.0,29,63.22754,8.509829,63.22754,8.594076
66,7542,14.0,32,63.22754,8.678289,63.22754,8.594076
67,7543,23.333333333333,47,63.22754,8.678289,63.31543,8.678289
68,7544,22.333333333333,56,63.22754,8.9307,63.22754,9.014763
69,7545,12.0,37,63.22754,9.014763,63.22754,8.9307
70,7546,21.333333333333,34,63.22754,9.434505,63.13965,9.350634
71,7547,16.533333333333,36,63.22754,9.434505,63.22754,9.518339
72,7548,11.0,32,63.22754,9.518339,63.22754,9.434505
73,7549,12.0,15,63.22754,9.518339,63.22754,9.68589
74,7550,20.333333333333,10,63.22754,9.853285,63.22754,9.68589
75,7552,15.933333333333001,11,63.22754,10.104082,63.31543,10.104082
76,7553,73.4,226,63.22754,11.435509,63.13965,11.435509
77,7571,18.666666666667,19,63.22754,9.266724,63.13965,9.350634
78,7574,13.0,28,63.22754,9.68589,63.31543,9.68589
79,7576,13.0,32,63.22754,11.51837,63.22754,11.435509
80,7593,17.666666666667,22,63.31543,8.762463,63.31543,8.678289
81,7594,16.666666666667,24,63.31543,9.602135,63.22754,9.68589
82,7609,20.333333333333,53,63.31543,8.425543,63.40332,8.425543
83,7610,17.666666666667,23,63.31543,8.425543,63.49121,8.425543
84,7611,18.6,41,63.31543,8.594076,63.22754,8.594076
85,7612,10.333333333333,24,63.31543,8.594076,63.31543,8.678289
86,7614,12.933333333333001,26,63.31543,8.9307,63.22754,8.9307
87,7617,39.666666666667,67,63.31543,9.769608,63.22754,9.68589
88,7619,14.6,16,63.31543,9.853285,63.22754,9.68589
89,7620,21.333333333333,64,63.31543,10.354521,63.31543,10.271082
90,7652,14.0,16,63.31543,9.350634,63.40332,9.434505
91,7653,13.466666666666999,16,63.31543,9.350634,63.49121,9.434505
92,7654,58.133333333333,123,63.31543,9.68589,63.22754,9.68589
93,7655,31.666666666667,36,63.31543,10.271082,63.31543,10.354521
94,7661,15.666666666666998,31,63.40332,8.509829,63.40332,8.425543
95,7662,43.0,69,63.40332,8.509829,63.49121,8.425543
96,7664,13.0,46,63.40332,9.518339,63.40332,9.434505
97,7665,21.333333333333,40,63.40332,9.518339,63.49121,9.434505
98,7666,15.666666666666998,34,63.40332,9.518339,63.49121,9.518339
99,7667,20.733333333333,10,63.40332,9.853285,63.22754,9.68589
100,7699,35.333333333333,89,63.40332,8.425543,63.31543,8.425543
101,7701,10.333333333333,24,63.40332,8.425543,63.40332,8.341221
102,7702,114.13333333333,225,63.40332,8.425543,63.49121,8.425543
103,7705,25.0,27,63.40332,8.594076,63.49121,8.425543
104,7706,13.0,32,63.40332,9.014763,63.40332,8.9307
105,7708,13.0,34,63.40332,9.350634,63.40332,9.434505
106,7709,36.333333333333,70,63.40332,9.434505,63.49121,9.434505
107,7710,15.666666666666998,31,63.40332,9.434505,63.49121,9.518339
108,7712,11.0,16,63.40332,10.020523,63.40332,10.104082
109,7713,28.0,85,63.40332,10.104082,63.49121,10.104082
110,7715,13.0,41,63.40332,10.43792,63.666992,10.354521
111,7719,14.666666666666998,40,63.40332,8.678289,63.31543,8.678289
112,7720,10.333333333333,37,63.40332,8.9307,63.49121,8.9307
113,7723,10.333333333333,45,63.40332,10.271082,63.31543,10.271082
