,index,Baseline: People Moving,Crisis: People Moving,x0,y0,x1,y1
0,8271,32.666666666667,87,62.788086,8.425543,62.963867,8.425543
1,8272,22.333333333333,70,62.788086,8.425543,62.963867,8.509829
2,8273,12.0,47,62.788086,8.425543,62.963867,8.594076
3,8274,12.0,30,62.788086,8.425543,63.051758,8.678289
4,8276,19.333333333333,40,62.788086,8.425543,63.22754,8.256863
5,8278,26.0,56,62.788086,8.425543,63.31543,8.172468
6,8279,12.0,24,62.788086,8.425543,63.49121,8.425543
7,8280,13.0,35,62.788086,8.425543,63.666992,8.0880375
8,8302,17.666666666667,43,62.788086,9.350634,62.963867,9.350634
9,8338,31.666666666667,77,62.788086,9.434505,62.963867,9.350634
10,8339,24.0,57,62.788086,9.434505,62.963867,9.098787
11,8340,20.333333333333,41,62.788086,9.434505,62.963867,9.182774
12,8341,14.0,42,62.788086,9.434505,62.963867,9.266724
13,8342,16.666666666667,41,62.788086,9.434505,62.963867,9.434505
14,8343,22.333333333333,60,62.788086,9.434505,62.963867,9.518339
15,8344,23.333333333333,38,62.788086,9.434505,63.051758,9.098787
16,8345,16.666666666667,33,62.788086,9.434505,63.051758,9.350634
17,8346,29.666666666667,58,62.788086,9.434505,63.13965,9.350634
18,8349,10.333333333333,29,62.788086,9.434505,63.22754,9.434505
19,8350,11.0,27,62.788086,9.434505,63.22754,9.266724
20,8351,14.0,39,62.788086,9.434505,63.22754,9.68589
21,8352,14.0,30,62.788086,9.434505,64.106445,9.182774
22,8439,76.46666666666701,152,62.875977,8.425543,62.963867,8.425543
23,8440,65.866666666667,152,62.875977,8.425543,62.963867,8.509829
24,8441,12.0,31,62.875977,8.425543,62.963867,8.341221
25,8442,22.333333333333,68,62.875977,8.425543,62.963867,8.594076
26,8443,15.666666666666998,33,62.875977,8.425543,63.051758,8.425543
27,8444,16.666666666667,43,62.875977,8.425543,63.051758,8.509829
28,8445,10.333333333333,42,62.875977,8.425543,63.051758,8.678289
29,8446,15.666666666666998,39,62.875977,8.425543,63.13965,8.425543
30,8447,12.0,30,62.875977,8.425543,63.22754,8.256863
31,8448,15.666666666666998,52,62.875977,8.425543,63.31543,8.172468
32,8449,10.333333333333,24,62.875977,8.425543,63.49121,8.425543
33,8451,18.666666666667,41,62.875977,8.9307,62.963867,8.9307
34,8456,36.333333333333,58,62.875977,9.68589,62.963867,9.68589
35,8457,14.666666666666998,24,62.875977,9.68589,62.963867,9.769608
36,8458,12.0,17,62.875977,9.68589,62.963867,9.602135
37,8459,13.0,15,62.875977,9.68589,63.051758,9.68589
38,8491,10.333333333333,27,62.875977,8.509829,62.963867,8.509829
39,8497,10.333333333333,19,62.875977,8.678289,62.963867,8.678289
40,8498,25.6,28,62.875977,8.678289,62.963867,8.762463
