,index,Baseline: People Moving,Crisis: People Moving,x0,y0,x1,y1
0,2520,19.785714285714,31,62.788086,8.425543,62.963867,8.425543
1,2521,12.357142857143,12,62.788086,8.425543,62.963867,8.509829
2,2550,17.071428571429,33,62.788086,9.434505,62.963867,9.350634
3,2551,11.357142857143,10,62.788086,9.434505,62.963867,9.098787
4,2598,34.214285714286,74,62.875977,8.425543,62.963867,8.425543
5,2599,24.5,40,62.875977,8.425543,62.963867,8.509829
6,2602,16.071428571429,25,62.875977,9.68589,62.963867,9.68589
7,2651,18.071428571429,33,62.963867,9.098787,62.963867,9.182774
8,2652,25.5,47,62.963867,9.098787,63.051758,9.098787
9,2653,11.357142857143,37,62.963867,9.182774,62.963867,9.098787
10,2659,10.642857142857,28,63.051758,8.425543,63.13965,8.425543
11,2668,18.071428571429,31,63.051758,8.678289,63.051758,8.762463
12,2669,17.071428571429,41,63.051758,8.678289,63.13965,8.678289
13,2671,36.928571428571,66,63.051758,9.098787,62.963867,9.098787
14,2672,10.642857142857,27,63.051758,9.098787,63.051758,9.014763
15,2688,12.357142857143,41,63.051758,10.93746,63.051758,10.854305
16,2689,10.642857142857,29,63.051758,10.93746,63.13965,10.93746
17,2713,16.071428571429,19,63.13965,9.350634,63.051758,9.350634
18,2715,34.928571428571,93,63.13965,11.435509,63.22754,11.435509
19,2718,14.357142857143,28,63.13965,8.425543,63.051758,8.425543
20,2733,12.357142857143,32,63.22754,9.014763,63.22754,8.9307
21,2734,75.214285714286,138,63.22754,11.435509,63.13965,11.435509
22,2746,12.357142857143,28,63.22754,9.68589,63.13965,9.68589
23,2747,12.357142857143,23,63.22754,9.68589,63.22754,9.602135
24,2748,11.357142857143,24,63.22754,9.68589,63.22754,9.769608
25,2749,19.071428571429,48,63.22754,9.68589,63.31543,9.68589
26,2759,14.357142857143,45,63.31543,8.425543,63.40332,8.425543
27,2760,10.642857142857,25,63.31543,10.354521,63.31543,10.271082
28,2779,15.071428571429,33,63.31543,10.271082,63.31543,10.354521
29,2791,11.357142857143,27,63.40332,8.425543,63.31543,8.425543
30,2792,20.785714285714,37,63.40332,8.425543,63.49121,8.425543
