,index,Baseline: People Moving,Crisis: People Moving,x0,y0,x1,y1
0,7515,14.0,30,62.788086,8.425543,62.963867,8.425543
1,7517,11.0,24,62.788086,8.425543,63.22754,8.256863
2,7519,16.666666666667,45,62.788086,8.425543,63.31543,8.172468
3,7520,14.0,31,62.788086,8.425543,63.49121,8.425543
4,7542,13.0,38,62.788086,9.350634,63.13965,9.350634
5,7562,12.0,28,62.788086,9.434505,62.963867,9.098787
6,7563,34.133333333333,32,62.788086,9.434505,62.963867,9.434505
7,7565,14.0,45,62.788086,9.434505,63.051758,9.098787
8,7566,22.333333333333,56,62.788086,9.434505,63.13965,9.350634
9,7567,16.666666666667,34,62.788086,9.434505,63.22754,9.68589
10,7625,23.333333333333,77,62.875977,8.425543,62.963867,8.425543
11,7626,18.666666666667,36,62.875977,8.425543,62.963867,8.509829
12,7628,15.666666666666998,43,62.875977,8.425543,63.31543,8.172468
13,7629,10.333333333333,37,62.875977,8.425543,63.49121,8.425543
14,7669,10.333333333333,22,62.875977,8.509829,62.963867,8.509829
15,7682,27.0,62,62.875977,9.098787,62.963867,9.098787
16,7683,10.0,12,62.875977,9.098787,63.051758,9.098787
17,7719,57.450424492379,28,62.875977,9.434505,62.963867,9.434505
18,7733,16.666666666667,54,62.963867,9.014763,62.963867,9.098787
19,7734,14.0,34,62.963867,9.014763,63.051758,9.098787
20,7739,13.0,29,62.963867,9.350634,63.13965,9.350634
21,7768,11.0,35,62.963867,8.678289,63.051758,8.678289
22,7772,15.666666666666998,34,62.963867,9.098787,62.963867,9.182774
23,7773,72.066666666667,170,62.963867,9.098787,63.051758,9.098787
24,7776,31.666666666667,81,62.963867,9.182774,62.963867,9.098787
25,7777,28.0,54,62.963867,9.182774,63.051758,9.098787
26,7783,12.333333333333002,15,62.963867,9.518339,62.963867,9.602135
27,7785,15.4,16,62.963867,9.936924,63.051758,9.936924
28,7786,10.333333333333,26,62.963867,10.020523,63.051758,10.020523
29,7807,10.333333333333,27,62.963867,8.594076,62.963867,8.509829
30,7819,21.333333333333,74,63.051758,8.425543,63.13965,8.425543
31,7820,12.0,20,63.051758,8.8466,63.051758,8.678289
32,7821,28.0,75,63.051758,9.014763,63.051758,9.098787
33,7825,14.0,33,63.051758,10.104082,63.051758,10.020523
34,7868,10.933333333333001,11,63.051758,8.509829,63.051758,8.425543
35,7870,10.333333333333,31,63.051758,8.594076,63.051758,8.678289
36,7872,39.333333333333,48,63.051758,8.678289,63.051758,8.762463
37,7874,38.333333333333,106,63.051758,9.098787,62.963867,9.098787
38,7875,14.0,14,63.051758,9.266724,62.963867,9.266724
39,7876,10.0,12,63.051758,9.266724,63.13965,9.350634
40,7877,22.333333333333,38,63.051758,9.434505,63.13965,9.350634
41,7896,34.333333333333,76,63.051758,8.762463,63.051758,8.678289
42,7897,10.333333333333,22,63.051758,8.9307,63.051758,9.098787
43,7898,21.333333333333,40,63.051758,9.182774,63.051758,9.098787
44,7900,55.011294433901995,95,63.051758,9.350634,63.13965,9.350634
45,7901,11.0,40,63.051758,10.854305,63.051758,10.93746
46,7902,16.066666666667,42,63.051758,10.93746,63.13965,10.93746
47,7919,11.733333333333,12,63.13965,8.509829,63.051758,8.425543
48,7920,28.666666666667,51,63.13965,8.594076,63.13965,8.509829
49,7921,38.333333333333,105,63.13965,8.678289,63.051758,8.678289
50,7922,14.0,35,63.13965,9.014763,63.22754,9.014763
51,7923,22.333333333333,43,63.13965,9.266724,63.13965,9.350634
52,7948,19.333333333333,39,63.13965,8.9307,63.22754,8.9307
53,7951,11.0,28,63.13965,9.350634,63.051758,9.350634
54,7953,20.333333333333,42,63.13965,9.434505,63.13965,9.350634
55,7954,11.0,29,63.13965,9.769608,63.22754,9.68589
56,7956,12.0,46,63.13965,10.93746,63.051758,10.93746
57,7957,117.66666666667,331,63.13965,11.435509,63.22754,11.435509
58,7977,53.333333333332995,60,63.13965,8.425543,63.051758,8.425543
59,7978,18.666666666667,49,63.13965,8.762463,63.051758,8.678289
60,7979,14.4,32,63.13965,8.762463,63.051758,8.762463
61,7981,16.666666666667,25,63.13965,9.182774,63.13965,9.350634
62,7982,14.666666666666998,28,63.13965,9.602135,63.22754,9.68589
63,7984,35.333333333333,60,63.13965,9.68589,63.22754,9.68589
64,7985,16.666666666667,20,63.13965,9.853285,63.051758,9.853285
65,8007,23.333333333333,41,63.22754,9.350634,63.13965,9.350634
66,8008,54.066666666667004,74,63.22754,9.602135,63.22754,9.68589
67,8009,33.666666666667,53,63.22754,9.769608,63.22754,9.68589
68,8010,11.0,28,63.22754,10.271082,63.31543,10.271082
69,8028,13.333333333333002,16,63.22754,8.425543,63.31543,8.425543
70,8029,13.933333333333001,34,63.22754,8.509829,63.22754,8.594076
71,8031,14.666666666666998,32,63.22754,8.678289,63.22754,8.594076
