,index,Baseline: People Moving,Crisis: People Moving,x0,y0,x1,y1
0,8086,29.666666666667,82,62.788086,8.425543,62.963867,8.425543
1,8087,22.333333333333,69,62.788086,8.425543,62.963867,8.509829
2,8088,11.0,43,62.788086,8.425543,62.963867,8.594076
3,8089,11.0,30,62.788086,8.425543,63.051758,8.678289
4,8091,12.0,31,62.788086,8.425543,63.13965,8.425543
5,8092,14.0,23,62.788086,8.425543,63.22754,8.256863
6,8093,21.333333333333,43,62.788086,8.425543,63.31543,8.172468
7,8094,14.0,36,62.788086,8.425543,63.49121,8.425543
8,8095,14.0,22,62.788086,8.425543,63.666992,8.0880375
9,8119,16.666666666667,45,62.788086,9.350634,62.963867,9.350634
10,8154,31.666666666667,60,62.788086,9.434505,62.963867,9.350634
11,8155,20.333333333333,46,62.788086,9.434505,62.963867,9.098787
12,8156,16.666666666667,31,62.788086,9.434505,62.963867,9.182774
13,8157,14.0,29,62.788086,9.434505,62.963867,9.266724
14,8158,16.666666666667,24,62.788086,9.434505,62.963867,9.434505
15,8159,23.333333333333,45,62.788086,9.434505,62.963867,9.518339
16,8160,10.333333333333,21,62.788086,9.434505,62.963867,9.602135
17,8161,22.333333333333,39,62.788086,9.434505,63.051758,9.098787
18,8162,11.0,34,62.788086,9.434505,63.051758,9.350634
19,8163,20.333333333333,38,62.788086,9.434505,63.13965,9.350634
20,8164,12.0,21,62.788086,9.434505,63.22754,9.434505
21,8165,14.666666666666998,32,62.788086,9.434505,63.22754,9.68589
22,8167,12.0,31,62.788086,9.434505,64.106445,9.182774
23,8254,76.480805034891,163,62.875977,8.425543,62.963867,8.425543
24,8255,59.8,137,62.875977,8.425543,62.963867,8.509829
25,8256,10.333333333333,27,62.875977,8.425543,62.963867,8.341221
26,8257,21.333333333333,60,62.875977,8.425543,62.963867,8.594076
27,8258,15.666666666666998,52,62.875977,8.425543,63.051758,8.425543
28,8259,15.666666666666998,39,62.875977,8.425543,63.051758,8.509829
29,8260,21.333333333333,25,62.875977,8.425543,63.13965,8.425543
30,8261,11.0,23,62.875977,8.425543,63.22754,8.256863
31,8262,14.666666666666998,31,62.875977,8.425543,63.31543,8.172468
32,8265,16.666666666667,48,62.875977,8.9307,62.963867,8.9307
33,8270,35.333333333333,68,62.875977,9.68589,62.963867,9.68589
34,8271,14.666666666666998,23,62.875977,9.68589,62.963867,9.769608
35,8272,12.933333333333001,10,62.875977,9.68589,63.051758,9.68589
36,8305,10.333333333333,20,62.875977,8.509829,62.963867,8.509829
37,8311,10.333333333333,12,62.875977,8.678289,62.963867,8.678289
38,8312,25.0,20,62.875977,8.678289,62.963867,8.762463
39,8316,12.0,40,62.875977,9.098787,62.963867,9.098787
40,8322,14.666666666666998,26,62.875977,9.266724,62.963867,9.182774
41,8323,16.666666666667,35,62.875977,9.266724,62.963867,9.266724
42,8328,12.0,46,62.875977,9.350634,62.963867,9.350634
43,8350,10.333333333333,30,62.963867,9.014763,62.963867,9.098787
44,8373,11.0,30,62.963867,8.425543,62.963867,8.509829
45,8377,11.0,27,62.963867,8.509829,62.963867,8.594076
46,8383,14.0,43,62.963867,9.098787,62.963867,9.014763
47,8384,32.666666666667,82,62.963867,9.098787,62.963867,9.182774
48,8385,44.0,108,62.963867,9.098787,63.051758,9.098787
49,8387,15.666666666666998,31,62.963867,9.182774,62.963867,9.098787
50,8388,12.0,15,62.963867,9.266724,63.051758,9.266724
51,8405,15.6,25,62.963867,9.602135,62.963867,9.518339
52,8411,13.0,21,63.051758,8.425543,63.051758,8.509829
53,8412,63.0,65,63.051758,8.425543,63.13965,8.425543
54,8458,11.0,31,63.051758,8.678289,62.963867,8.678289
55,8460,14.0,33,63.051758,8.678289,63.051758,8.8466
56,8461,30.666666666667,88,63.051758,8.678289,63.051758,8.762463
57,8462,34.333333333333,82,63.051758,8.678289,63.13965,8.678289
58,8463,20.333333333333,38,63.051758,8.678289,63.13965,8.762463
59,8466,12.0,31,63.051758,9.098787,62.963867,9.014763
60,8467,80.866666666667,158,63.051758,9.098787,62.963867,9.098787
61,8468,28.666666666667,40,63.051758,9.098787,62.963867,9.182774
62,8469,25.0,59,63.051758,9.098787,63.051758,9.014763
63,8470,11.733333333333,13,63.051758,9.098787,63.051758,8.9307
64,8471,20.333333333333,46,63.051758,9.098787,63.051758,9.182774
65,8472,14.666666666666998,30,63.051758,9.853285,63.13965,9.853285
66,8473,15.666666666666998,24,63.051758,9.936924,62.963867,9.936924
67,8475,12.0,35,63.051758,10.020523,62.963867,10.020523
68,8476,16.666666666667,24,63.051758,10.020523,63.051758,10.104082
69,8506,43.0,38,63.051758,8.762463,63.051758,8.678289
70,8507,14.133333333333,26,63.051758,8.762463,63.13965,8.762463
71,8508,10.333333333333,27,63.051758,9.182774,63.051758,9.098787
72,8509,14.666666666666998,43,63.051758,9.350634,63.13965,9.350634
